epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6809.2,1.67493,2.86169,0.65163,1.55943,1.80496,0.53119,0.85294,0.67056,0.39791,0.49781,0.79412,0.62902,0.47257,1.18179,1.38023,0.21266,1.47972,1.69448,0.000515,0.000515,0.000515
77,6910.48,1.39283,2.72047,0.56885,1.52278,1.69398,0.53119,0.85294,0.67056,0.39791,0.49781,0.79412,0.62902,0.47257,1.18179,1.38023,0.21266,1.47972,1.69448,0.0004952,0.0004952,0.0004952
78,6999.85,1.44565,2.47872,0.5689,1.44252,1.71302,0.58738,0.85294,0.75576,0.48743,0.54628,0.79412,0.71339,0.47793,1.15734,1.38927,0.21114,1.34566,1.66829,0.0004754,0.0004754,0.0004754
79,7088.29,1.33386,2.30679,0.51641,1.44174,1.61693,0.56183,0.7167,0.77745,0.48106,0.54112,0.69382,0.7361,0.50002,1.28645,1.37609,0.21028,1.34866,1.75701,0.0004556,0.0004556,0.0004556
80,7180.18,1.53817,2.83879,0.60132,1.46547,1.67126,0.56183,0.7167,0.77745,0.48106,0.54112,0.69382,0.7361,0.50002,1.28645,1.37609,0.21028,1.34866,1.75701,0.0004358,0.0004358,0.0004358
81,7271.71,1.61652,2.92237,0.57848,1.42562,1.86947,0.55868,0.70588,0.76567,0.47483,0.52592,0.70588,0.73625,0.51436,1.33307,1.24709,0.21831,1.30216,1.81361,0.000416,0.000416,0.000416
82,7366.25,1.49049,2.37701,0.55726,1.43639,1.80688,0.55868,0.70588,0.76567,0.47483,0.52592,0.70588,0.73625,0.51436,1.33307,1.24709,0.21831,1.30216,1.81361,0.0003962,0.0003962,0.0003962
83,7461.16,1.42372,2.52603,0.55065,1.39217,1.64135,0.70764,0.76471,0.81154,0.51749,0.71236,0.76471,0.79999,0.59799,1.35565,1.16464,0.22736,1.25703,1.85018,0.0003764,0.0003764,0.0003764
84,7556.89,1.36267,2.32771,0.52298,1.17802,1.5073,0.67656,0.67674,0.7462,0.48279,0.67656,0.67674,0.75402,0.58599,1.38502,1.08259,0.23685,1.26155,1.86511,0.0003566,0.0003566,0.0003566
85,7649.95,1.39663,2.099,0.51019,1.31156,1.58502,0.67656,0.67674,0.7462,0.48279,0.67656,0.67674,0.75402,0.58599,1.38502,1.08259,0.23685,1.26155,1.86511,0.0003368,0.0003368,0.0003368
86,7747.04,1.36764,2.45118,0.56014,1.37853,1.62319,0.6741,0.64706,0.71174,0.44653,0.6741,0.64706,0.71586,0.53404,1.40014,1.10703,0.24193,1.26153,1.86858,0.000317,0.000317,0.000317
87,7844.54,1.28757,2.37227,0.51716,1.32401,1.57932,0.66701,0.67647,0.71499,0.46385,0.66701,0.67647,0.70717,0.49041,1.30016,1.17644,0.23739,1.25998,1.80454,0.0002972,0.0002972,0.0002972
88,7940.11,1.43992,3.17723,0.57285,1.4445,1.77809,0.66701,0.67647,0.71499,0.46385,0.66701,0.67647,0.70717,0.49041,1.30016,1.17644,0.23739,1.25998,1.80454,0.0002774,0.0002774,0.0002774
89,8044.84,1.33844,2.4475,0.50852,1.39249,1.6536,0.66868,0.71245,0.75898,0.49707,0.66868,0.71245,0.74803,0.50863,1.25414,1.23461,0.23108,1.1932,1.77554,0.0002576,0.0002576,0.0002576
90,8147.79,1.35225,2.48265,0.63514,1.44726,1.83099,0.66868,0.71245,0.75898,0.49707,0.66868,0.71245,0.74803,0.50863,1.25414,1.23461,0.23108,1.1932,1.77554,0.0002378,0.0002378,0.0002378
91,8251.39,1.3272,1.33744,0.27779,1.42485,1.66971,0.72599,0.79412,0.76892,0.52412,0.72599,0.79412,0.76254,0.54164,1.19375,1.21036,0.22252,1.17017,1.73696,0.000218,0.000218,0.000218
92,8351.24,1.31338,1.45758,0.24928,1.38053,1.7802,0.66406,0.79412,0.78219,0.52495,0.66406,0.79412,0.77504,0.58169,1.13824,1.1392,0.21229,1.15505,1.68855,0.0001982,0.0001982,0.0001982
93,8448.01,1.10323,1.28663,0.25584,1.26622,1.57698,0.66406,0.79412,0.78219,0.52495,0.66406,0.79412,0.77504,0.58169,1.13824,1.1392,0.21229,1.15505,1.68855,0.0001784,0.0001784,0.0001784
94,8544.47,1.30881,1.72752,0.25906,1.48226,1.79168,0.65379,0.88235,0.81261,0.547,0.68403,0.82353,0.7952,0.60517,1.10279,1.086,0.20642,1.16639,1.65284,0.0001586,0.0001586,0.0001586
95,8650.59,1.09247,1.50563,0.22703,1.25666,1.59655,0.70467,0.76471,0.83345,0.56361,0.71617,0.76471,0.82169,0.61251,1.0963,1.09328,0.19956,1.18982,1.63329,0.0001388,0.0001388,0.0001388
96,8758.17,1.18253,1.25879,0.22953,1.1966,1.53421,0.70467,0.76471,0.83345,0.56361,0.71617,0.76471,0.82169,0.61251,1.0963,1.09328,0.19956,1.18982,1.63329,0.000119,0.000119,0.000119
97,8853.06,1.54665,1.7921,0.26686,1.47231,1.82788,0.72087,0.73529,0.83493,0.56792,0.72315,0.73529,0.82504,0.63148,1.07736,1.06697,0.19687,1.19383,1.61656,9.92e-05,9.92e-05,9.92e-05
98,8941.19,1.07401,1.11611,0.23278,1.23328,1.5234,0.72087,0.73529,0.83493,0.56792,0.72315,0.73529,0.82504,0.63148,1.07736,1.06697,0.19687,1.19383,1.61656,7.94e-05,7.94e-05,7.94e-05
99,9035.81,1.08109,1.21565,0.22051,1.26147,1.63999,0.70084,0.82691,0.85374,0.59254,0.71845,0.75071,0.84284,0.65638,1.0551,1.03673,0.19537,1.17445,1.60391,5.96e-05,5.96e-05,5.96e-05
100,9129.08,1.10794,1.29456,0.22261,1.19618,1.54144,0.72977,0.82353,0.86258,0.60912,0.73059,0.79769,0.8522,0.67311,1.031,1.00494,0.19362,1.14512,1.59194,3.98e-05,3.98e-05,3.98e-05
