epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,6359.5,1.14908,0.58529,0.98659,0.85016,0.78798,0.82195,0.31018,2.30871,0.8849,1.61335,0.000342321,0.000342321,0.000342321
121,6408.7,1.15676,0.5827,0.98122,0.77358,0.82155,0.78868,0.30356,2.30398,0.90174,1.62103,0.000338198,0.000338198,0.000338198
122,6458.14,1.2433,0.6281,1.01654,0.79027,0.79375,0.77644,0.30544,2.30472,0.90371,1.62651,0.000334075,0.000334075,0.000334075
123,6509.2,1.17524,0.58712,1.00628,0.80615,0.79473,0.78495,0.30747,2.31132,0.90323,1.62995,0.000329951,0.000329951,0.000329951
124,6559.88,1.27149,0.61374,1.00773,0.80613,0.79074,0.78105,0.30322,2.33053,0.89888,1.64148,0.000325828,0.000325828,0.000325828
125,6609.09,1.22307,0.58345,0.99989,0.77601,0.81466,0.77942,0.29669,2.33872,0.90112,1.64588,0.000321705,0.000321705,0.000321705
126,6658.07,1.23117,0.60973,0.99759,0.78999,0.77243,0.75657,0.29314,2.33806,0.90732,1.64089,0.000317581,0.000317581,0.000317581
127,6706.79,1.14225,0.59236,0.96973,0.76541,0.76359,0.75283,0.29178,2.34533,0.92064,1.64596,0.000313458,0.000313458,0.000313458
128,6755.45,1.21606,0.59228,0.97261,0.76113,0.7665,0.75549,0.29462,2.33538,0.91289,1.64758,0.000309335,0.000309335,0.000309335
129,6804.59,1.17714,0.57114,0.98179,0.73939,0.80905,0.76219,0.30104,2.30624,0.89657,1.62803,0.000305211,0.000305211,0.000305211
130,6854.81,1.19876,0.6109,1.00858,0.75013,0.81458,0.77186,0.307,2.29664,0.89249,1.62311,0.000301088,0.000301088,0.000301088
131,6904.85,1.19799,0.59113,0.99788,0.75561,0.81761,0.78128,0.30882,2.29253,0.89214,1.62212,0.000296964,0.000296964,0.000296964
132,6953.11,1.16388,0.59194,0.97794,0.754,0.83621,0.79383,0.31052,2.29298,0.89247,1.62112,0.000292841,0.000292841,0.000292841
133,7002.09,1.13544,0.56458,0.97517,0.75197,0.81134,0.77577,0.30156,2.30567,0.89456,1.63529,0.000288718,0.000288718,0.000288718
134,7051,1.20711,0.58679,1.00382,0.72608,0.79624,0.74388,0.29307,2.32157,0.89199,1.64634,0.000284594,0.000284594,0.000284594
135,7099.85,1.19057,0.5883,0.95574,0.74471,0.79398,0.74172,0.29143,2.33016,0.88939,1.64745,0.000280471,0.000280471,0.000280471
136,7148.81,1.1497,0.56778,0.9473,0.75359,0.80206,0.746,0.29997,2.3265,0.87758,1.63384,0.000276348,0.000276348,0.000276348
137,7199.4,1.21901,0.62456,0.99537,0.76318,0.81248,0.76266,0.29683,2.34077,0.87637,1.64111,0.000272224,0.000272224,0.000272224
138,7248.83,1.16997,0.57649,0.96952,0.76342,0.81307,0.75583,0.29466,2.35327,0.88684,1.65468,0.000268101,0.000268101,0.000268101
139,7297.83,1.16767,0.58757,0.96176,0.78552,0.80094,0.77025,0.29755,2.34797,0.89761,1.65957,0.000263978,0.000263978,0.000263978
140,7347.18,1.16714,0.59793,0.96886,0.79281,0.81628,0.77969,0.30029,2.33285,0.89719,1.65599,0.000259854,0.000259854,0.000259854
141,7397.19,1.17709,0.58343,0.97177,0.78384,0.80932,0.7819,0.30567,2.32595,0.88648,1.65395,0.000255731,0.000255731,0.000255731
142,7446.07,1.11875,0.56005,0.96148,0.77917,0.79645,0.77698,0.30376,2.33371,0.86273,1.66177,0.000251608,0.000251608,0.000251608
143,7495.16,1.17183,0.5737,0.95418,0.77192,0.78422,0.7711,0.29976,2.33979,0.84963,1.66369,0.000247484,0.000247484,0.000247484
144,7545.47,1.14909,0.56826,1.0108,0.76515,0.78412,0.76861,0.30596,2.34221,0.85706,1.66086,0.000243361,0.000243361,0.000243361
145,7596.1,1.08776,0.54727,0.96267,0.74861,0.76219,0.74245,0.29716,2.35593,0.87004,1.66837,0.000239238,0.000239238,0.000239238
146,7645.11,1.07737,0.55733,0.97068,0.74305,0.74336,0.72495,0.2935,2.36232,0.88261,1.6695,0.000235114,0.000235114,0.000235114
