epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,570.959,1.61107,1.2898,1.21602,0.93945,0.90402,0.96516,0.52947,1.5744,1.32923,1.22886,0.000544625,0.000544625,0.000544625
59,580.394,1.59041,1.25796,1.18346,0.93945,0.90402,0.96516,0.52947,1.5744,1.32923,1.22886,0.00053225,0.00053225,0.00053225
60,589.868,1.4777,1.18109,1.16554,0.92948,0.92695,0.96515,0.52549,1.61703,1.31001,1.24093,0.000519875,0.000519875,0.000519875
61,599.396,1.53512,1.24752,1.2701,0.92948,0.92695,0.96515,0.52549,1.61703,1.31001,1.24093,0.0005075,0.0005075,0.0005075
62,608.533,1.55411,1.19586,1.25279,0.92948,0.92695,0.96515,0.52549,1.61703,1.31001,1.24093,0.000495125,0.000495125,0.000495125
63,617.871,1.49487,1.1658,1.21631,0.92867,0.94206,0.96514,0.51463,1.63296,1.26141,1.24629,0.00048275,0.00048275,0.00048275
64,627.03,1.50625,1.13942,1.19861,0.92867,0.94206,0.96514,0.51463,1.63296,1.26141,1.24629,0.000470375,0.000470375,0.000470375
65,636.521,1.53186,1.16764,1.21446,0.89933,0.90878,0.93543,0.53827,1.58104,1.1673,1.23068,0.000458,0.000458,0.000458
66,646.348,1.48255,1.164,1.18902,0.89933,0.90878,0.93543,0.53827,1.58104,1.1673,1.23068,0.000445625,0.000445625,0.000445625
67,655.889,1.54997,1.17183,1.25648,0.89933,0.90878,0.93543,0.53827,1.58104,1.1673,1.23068,0.00043325,0.00043325,0.00043325
68,665.121,1.52934,1.15405,1.22617,0.86731,0.92719,0.92618,0.54207,1.54992,1.12565,1.21831,0.000420875,0.000420875,0.000420875
69,674.769,1.52854,1.27837,1.27562,0.86731,0.92719,0.92618,0.54207,1.54992,1.12565,1.21831,0.0004085,0.0004085,0.0004085
70,684.245,1.43162,1.10929,1.21102,0.86731,0.92719,0.92618,0.54207,1.54992,1.12565,1.21831,0.000396125,0.000396125,0.000396125
71,693.812,1.45199,1.21302,1.17947,0.83654,0.8864,0.88189,0.51518,1.56477,1.1491,1.21891,0.00038375,0.00038375,0.00038375
72,703.25,1.50849,1.16244,1.20834,0.83654,0.8864,0.88189,0.51518,1.56477,1.1491,1.21891,0.000371375,0.000371375,0.000371375
73,713.24,1.54141,1.11784,1.23708,0.83956,0.887,0.88119,0.51423,1.56086,1.17326,1.22359,0.000359,0.000359,0.000359
74,722.571,1.45707,1.12718,1.19287,0.83956,0.887,0.88119,0.51423,1.56086,1.17326,1.22359,0.000346625,0.000346625,0.000346625
75,733.781,1.46738,1.13926,1.14203,0.83956,0.887,0.88119,0.51423,1.56086,1.17326,1.22359,0.00033425,0.00033425,0.00033425
76,744.616,1.3918,1.07192,1.14808,0.86457,0.91436,0.93138,0.52624,1.52742,1.17664,1.20476,0.000321875,0.000321875,0.000321875
77,755.269,1.54799,1.1219,1.196,0.86457,0.91436,0.93138,0.52624,1.52742,1.17664,1.20476,0.0003095,0.0003095,0.0003095
78,765.049,1.44742,1.07699,1.14619,0.86457,0.91436,0.93138,0.52624,1.52742,1.17664,1.20476,0.000297125,0.000297125,0.000297125
79,774.729,1.46844,1.04985,1.11993,0.90006,0.90625,0.93911,0.54835,1.49346,1.16336,1.18917,0.00028475,0.00028475,0.00028475
80,784.167,1.46054,1.07204,1.13842,0.90006,0.90625,0.93911,0.54835,1.49346,1.16336,1.18917,0.000272375,0.000272375,0.000272375
81,794.088,1.41636,1.06092,1.11485,0.92953,0.9375,0.9731,0.56162,1.46707,1.10154,1.16982,0.00026,0.00026,0.00026
82,804.209,1.43829,1.08112,1.17899,0.92953,0.9375,0.9731,0.56162,1.46707,1.10154,1.16982,0.000247625,0.000247625,0.000247625
83,813.728,1.51027,1.01193,1.13342,0.92953,0.9375,0.9731,0.56162,1.46707,1.10154,1.16982,0.00023525,0.00023525,0.00023525
84,823.46,1.44227,1.09806,1.21235,0.92835,0.95932,0.97833,0.56645,1.4549,1.06671,1.1684,0.000222875,0.000222875,0.000222875
85,832.907,1.39673,1.09061,1.14461,0.92835,0.95932,0.97833,0.56645,1.4549,1.06671,1.1684,0.0002105,0.0002105,0.0002105
86,842.448,1.40054,0.98519,1.14765,0.92835,0.95932,0.97833,0.56645,1.4549,1.06671,1.1684,0.000198125,0.000198125,0.000198125
87,851.839,1.36308,0.95174,1.08102,0.89948,0.92802,0.94955,0.56522,1.45078,1.04698,1.17324,0.00018575,0.00018575,0.00018575
88,861.788,1.45892,1.02758,1.148,0.89948,0.92802,0.94955,0.56522,1.45078,1.04698,1.17324,0.000173375,0.000173375,0.000173375
89,872.187,1.40503,1.13856,1.21028,0.91077,0.92925,0.95045,0.56545,1.46186,1.02893,1.17686,0.000161,0.000161,0.000161
90,882.301,1.42148,1.00721,1.12406,0.91077,0.92925,0.95045,0.56545,1.46186,1.02893,1.17686,0.000148625,0.000148625,0.000148625
91,892.053,1.45989,1.22062,1.29051,0.91077,0.92925,0.95045,0.56545,1.46186,1.02893,1.17686,0.00013625,0.00013625,0.00013625
92,902.497,1.4591,1.31453,1.24271,0.92125,0.9305,0.94959,0.56468,1.47741,1.02118,1.18461,0.000123875,0.000123875,0.000123875
93,912.462,1.45149,1.27065,1.23966,0.92125,0.9305,0.94959,0.56468,1.47741,1.02118,1.18461,0.0001115,0.0001115,0.0001115
94,921.684,1.4378,1.17017,1.26778,0.92125,0.9305,0.94959,0.56468,1.47741,1.02118,1.18461,9.9125e-05,9.9125e-05,9.9125e-05
95,931.565,1.41664,1.17965,1.19706,0.92753,0.93152,0.9526,0.55675,1.50137,1.03158,1.19701,8.675e-05,8.675e-05,8.675e-05
96,940.997,1.40245,1.17062,1.21467,0.92753,0.93152,0.9526,0.55675,1.50137,1.03158,1.19701,7.4375e-05,7.4375e-05,7.4375e-05
97,951.055,1.44669,1.21204,1.22,0.93307,0.93289,0.95048,0.55865,1.51829,1.04322,1.21286,6.2e-05,6.2e-05,6.2e-05
98,960.406,1.40854,1.20511,1.20451,0.93307,0.93289,0.95048,0.55865,1.51829,1.04322,1.21286,4.9625e-05,4.9625e-05,4.9625e-05
99,970.113,1.36274,1.11903,1.2352,0.93307,0.93289,0.95048,0.55865,1.51829,1.04322,1.21286,3.725e-05,3.725e-05,3.725e-05
100,980.107,1.40503,1.18587,1.16438,0.936,0.93446,0.9488,0.55843,1.52871,1.04921,1.22299,2.4875e-05,2.4875e-05,2.4875e-05
